id,user_id,order_date,status,payment_method,total_amount
1,201,2024-11-23 09:26:37.887090,delivered,card,102572
2,584,2025-02-01 00:34:39.448873,paid,sbp,147347
3,671,2024-08-08 15:51:40.195706,cancelled,sbp,70456
4,782,2026-03-06 12:40:25.208167,delivered,credit,171216
5,758,2026-05-24 09:22:59.481951,delivered,sbp,47101
6,751,2024-07-30 11:40:26.165654,delivered,card,39689
7,738,2026-04-02 20:24:07.259107,cancelled,sbp,51247
8,939,2025-08-01 21:22:36.224093,cancelled,credit,18396
9,537,2025-06-16 23:26:44.563999,paid,card,178168
10,50,2025-07-09 10:21:09.690097,paid,sbp,39042
11,863,2026-02-15 15:19:57.430718,cancelled,card,20817
12,725,2026-02-08 23:13:11.410375,paid,card,60336
13,518,2026-03-31 10:54:37.095727,delivered,sbp,18846
14,633,2024-12-08 07:03:00.927263,cancelled,credit,164616
15,935,2025-02-08 20:07:54.612942,delivered,credit,130888
16,17,2025-11-11 11:19:30.771095,paid,credit,147610
17,422,2026-03-01 10:26:49.288045,paid,card,141783
18,740,2024-11-04 01:47:29.856477,delivered,credit,78153
19,18,2024-12-02 22:57:42.802490,cancelled,credit,179693
20,441,2025-12-08 19:04:15.735387,paid,card,28248
21,537,2026-05-22 03:30:46.123410,paid,card,53313
22,635,2026-02-02 12:37:28.392628,cancelled,sbp,95914
23,274,2026-07-04 00:11:37.360891,delivered,card,100793
24,983,2025-03-16 05:38:25.991320,delivered,sbp,151111
25,250,2025-01-11 19:01:17.046614,cancelled,card,81636
26,701,2025-12-19 05:58:19.120548,paid,credit,173365
27,778,2025-02-21 00:51:49.377764,paid,card,109241
28,389,2024-08-30 04:21:54.850864,delivered,credit,127781
29,58,2025-01-17 21:59:45.490700,cancelled,card,187246
30,176,2026-01-15 10:42:10.501299,paid,sbp,116746
31,661,2025-02-25 03:08:06.437158,delivered,credit,27998
32,917,2025-08-22 19:01:28.333081,cancelled,card,63231
33,217,2024-07-31 03:40:59.582461,cancelled,credit,127649
34,278,2025-10-07 02:39:18.512473,paid,card,182418
35,948,2024-11-21 16:36:27.066128,delivered,credit,150720
36,674,2025-10-05 14:58:28.657502,paid,card,85440
37,17,2025-10-13 12:52:54.210241,paid,credit,40798
38,771,2025-01-12 14:05:12.694394,cancelled,sbp,23168
39,307,2025-03-03 14:45:04.079695,paid,credit,66038
40,581,2024-07-22 11:12:33.556952,delivered,credit,144705
41,340,2025-11-20 04:57:28.516096,delivered,credit,39687
42,810,2026-06-17 18:02:05.195533,cancelled,credit,23559
43,513,2024-08-25 19:01:09.316859,cancelled,sbp,17076
44,101,2025-11-30 03:54:54.929688,delivered,card,22927
45,349,2025-05-08 14:18:17.224784,cancelled,credit,159135
46,407,2025-02-03 08:34:01.516092,delivered,card,169231
47,280,2026-03-21 20:17:34.624897,delivered,sbp,62805
48,365,2025-10-02 00:52:23.443930,cancelled,sbp,116206
49,191,2025-01-03 13:40:49.253027,cancelled,credit,176191
50,390,2026-05-16 13:08:04.763274,paid,credit,80431
51,818,2025-09-06 06:33:39.172005,paid,credit,22269
52,85,2026-05-09 05:31:57.473324,delivered,card,102614
53,729,2025-04-28 08:30:13.762709,cancelled,card,196896
54,399,2025-06-07 22:48:20.715124,delivered,sbp,30931
55,94,2026-01-15 09:13:16.219027,paid,sbp,119584
56,369,2026-03-06 03:19:48.043256,delivered,card,37735
57,90,2025-12-28 11:57:06.809304,paid,sbp,120661
58,571,2025-07-05 14:37:25.501998,cancelled,credit,109966
59,106,2026-06-09 20:12:39.962580,paid,card,95776
60,568,2025-11-03 12:15:28.547966,paid,credit,159773
61,804,2024-08-20 04:03:57.109098,delivered,sbp,6235
62,299,2025-10-11 10:05:33.882037,delivered,sbp,25203
63,743,2025-02-23 21:05:41.351303,cancelled,card,152935
64,534,2025-05-04 02:47:41.356240,paid,credit,102806
65,174,2025-08-19 08:19:02.013121,paid,sbp,81939
66,275,2024-11-28 03:09:40.618007,delivered,card,19585
67,172,2026-03-08 21:25:26.619423,delivered,sbp,113389
68,307,2026-05-31 00:17:06.900961,delivered,card,97666
69,258,2024-11-09 06:12:51.705812,paid,credit,166848
70,508,2025-09-11 23:18:35.313449,cancelled,credit,54261
71,469,2024-07-13 00:19:27.770278,paid,card,82864
72,7,2025-09-08 04:38:01.395992,delivered,sbp,165579
73,390,2024-12-30 12:21:16.941880,delivered,sbp,90749
74,441,2026-02-28 19:15:31.303067,cancelled,credit,38684
75,308,2025-07-21 03:01:09.084536,delivered,credit,185266
76,206,2024-12-30 21:00:54.556090,delivered,sbp,49566
77,988,2024-09-27 01:09:13.133163,delivered,sbp,79401
78,753,2026-06-05 17:51:19.408395,cancelled,credit,131714
79,991,2026-02-12 09:01:24.618595,cancelled,card,88429
80,386,2025-02-11 05:41:35.308305,delivered,sbp,98686
81,117,2026-03-29 09:05:02.537575,cancelled,card,158248
82,559,2024-12-06 11:25:35.063612,paid,credit,147205
83,28,2025-12-06 14:45:59.613716,cancelled,sbp,188694
84,215,2025-05-23 10:40:56.506742,delivered,sbp,184622
85,71,2024-10-13 04:39:58.190511,delivered,credit,133889
86,143,2025-10-19 07:33:39.065422,cancelled,sbp,66444
87,259,2025-01-10 06:41:31.577871,cancelled,card,190494
88,434,2025-08-24 22:50:10.037906,delivered,card,120720
89,613,2025-03-31 02:24:28.038532,delivered,credit,108068
90,548,2025-04-10 20:18:35.951440,cancelled,credit,112655
